_id,ID,Garment Layer,Colour,Keywords
5e5ef81be44d412c544b31a1,256,Garment Layer,saddlebrown,
5e5ef81be44d412c544b31a7,262,Garment Layer,darkslategray,
5e5ef81be44d412c544b31ac,267,Garment Layer,beige,
5e5ef81be44d412c544b31b1,272,Garment Layer,lightslategray,
5e5ef81be44d412c544b31ba,281,Garment Layer,wheat,
5e5ef81be44d412c544b30ec,75,Garment Layer,silver,
5e5ef81be44d412c544b30fb,90,Garment Layer,whitesmoke,
5e5ef81be44d412c544b311c,123,Garment Layer,darkslategray,
5e5ef81be44d412c544b312a,137,Garment Layer,burlywood,
5e5ef81be44d412c544b312b,138,Garment Layer,linen,
5e5ef81be44d412c544b313d,156,Garment Layer,darkslategray,
5e5ef81be44d412c544b3152,177,Garment Layer,rosybrown,
5e5ef81be44d412c544b3167,198,Garment Layer,darkslategray,
5e5ef81be44d412c544b316d,204,Garment Layer,rosybrown,
5e5ef81be44d412c544b31bf,286,Garment Layer,firebrick,
5e5ef81be44d412c544b31c2,289,Garment Layer,burlywood,
5e5ef81be44d412c544b30e4,67,Garment Layer,black,
5e5ef81be44d412c544b30f8,87,Garment Layer,indianred,
5e5ef81be44d412c544b3109,104,Garment Layer,lightslategray,
5e5ef81be44d412c544b3112,113,Garment Layer,black,
5e5ef81be44d412c544b3116,117,Garment Layer,black,
5e5ef81be44d412c544b311a,121,Garment Layer,black,
5e5ef81be44d412c544b3127,134,Garment Layer,silver,
5e5ef81be44d412c544b3128,135,Garment Layer,tan,
5e5ef81be44d412c544b312c,139,Garment Layer,linen,
5e5ef81be44d412c544b3134,147,Garment Layer,darkslategray,
5e5ef81be44d412c544b3140,159,Garment Layer,darkslategray,
5e5ef81be44d412c544b3146,165,Garment Layer,whitesmoke,
5e5ef81be44d412c544b3148,167,Garment Layer,whitesmoke,
5e5ef81be44d412c544b314e,173,Garment Layer,maroon,
5e5ef81be44d412c544b3156,181,Garment Layer,black,
5e5ef81be44d412c544b3173,210,Garment Layer,silver,
5e5ef81be44d412c544b317d,220,Garment Layer,lightblue,
5e5ef81be44d412c544b319f,254,Garment Layer,antiquewhite,
5e5ef81be44d412c544b31a8,263,Garment Layer,darkslategray,
5e5ef81be44d412c544b31af,270,Garment Layer,black,
5e5ef81be44d412c544b30e6,69,Garment Layer,rosybrown,
5e5ef81be44d412c544b30fa,89,Garment Layer,black,
5e5ef81be44d412c544b30fe,93,Garment Layer,darkslategray,
5e5ef81be44d412c544b3120,127,Garment Layer,tan,
5e5ef81be44d412c544b3121,128,Garment Layer,palevioletred,
5e5ef81be44d412c544b3135,148,Garment Layer,darkgray,
5e5ef81be44d412c544b313b,154,Garment Layer,black,
5e5ef81be44d412c544b3141,160,Garment Layer,silver,
5e5ef81be44d412c544b314a,169,Garment Layer,whitesmoke,
5e5ef81be44d412c544b315a,185,Garment Layer,whitesmoke,
5e5ef81be44d412c544b316f,206,Garment Layer,black,
5e5ef81be44d412c544b317c,219,Garment Layer,dimgray,
5e5ef81be44d412c544b319e,253,Garment Layer,gainsboro,
5e5ef81be44d412c544b31b8,279,Garment Layer,royalblue,
5e5ef81be44d412c544b31c1,288,Garment Layer,firebrick,
5e5ef81be44d412c544b30f9,88,Garment Layer,darkslategray,
5e5ef81be44d412c544b3101,96,Garment Layer,gainsboro,
5e5ef81be44d412c544b3108,103,Garment Layer,thistle,
5e5ef81be44d412c544b310c,107,Garment Layer,tan,
5e5ef81be44d412c544b310f,110,Garment Layer,lightsteelblue,
5e5ef81be44d412c544b3123,130,Garment Layer,maroon,
5e5ef81be44d412c544b313c,155,Garment Layer,black,
5e5ef81be44d412c544b3154,179,Garment Layer,linen,
5e5ef81be44d412c544b3162,193,Garment Layer,snow,
5e5ef81be44d412c544b3171,208,Garment Layer,lightgray,
5e5ef81be44d412c544b318a,233,Garment Layer,gainsboro,
5e5ef81be44d412c544b3195,244,Garment Layer,dimgray,
5e5ef81be44d412c544b319c,251,Garment Layer,black,
5e5ef81be44d412c544b31cb,298,Garment Layer,gray,
5e5ef81be44d412c544b30e2,65,Garment Layer,tan,
5e5ef81be44d412c544b30e7,70,Garment Layer,whitesmoke,
5e5ef81be44d412c544b3105,100,Garment Layer,darkslategray,
5e5ef81be44d412c544b3124,131,Garment Layer,antiquewhite,
5e5ef81be44d412c544b3139,152,Garment Layer,darkslategray,
5e5ef81be44d412c544b3155,180,Garment Layer,black,
5e5ef81be44d412c544b315e,189,Garment Layer,black,
5e5ef81be44d412c544b3170,207,Garment Layer,steelblue,
5e5ef81be44d412c544b317a,217,Garment Layer,tan,
5e5ef81be44d412c544b3186,229,Garment Layer,indianred,
5e5ef81be44d412c544b319d,252,Garment Layer,darkslategray,
5e5ef81be44d412c544b31a5,260,Garment Layer,gainsboro,
5e5ef81be44d412c544b31b2,273,Garment Layer,rosybrown,
5e5ef81be44d412c544b31b4,275,Garment Layer,lightgray,
5e5ef81be44d412c544b31b6,277,Garment Layer,whitesmoke,
5e5ef81be44d412c544b31df,318,Garment Layer,gainsboro,
5e5ef81be44d412c544b30e9,72,Garment Layer,darkslategray,
5e5ef81be44d412c544b30f3,82,Garment Layer,wheat,
5e5ef81be44d412c544b3102,97,Garment Layer,burlywood,
5e5ef81be44d412c544b3137,150,Garment Layer,black,
5e5ef81be44d412c544b3163,194,Garment Layer,gainsboro,
5e5ef81be44d412c544b3189,232,Garment Layer,darkgray,
5e5ef81be44d412c544b3199,248,Garment Layer,sienna,
5e5ef81be44d412c544b31b9,280,Garment Layer,indianred,
5e5ef81be44d412c544b30ea,73,Garment Layer,steelblue,
5e5ef81be44d412c544b30f2,81,Garment Layer,whitesmoke,
5e5ef81be44d412c544b3106,101,Garment Layer,gainsboro,
5e5ef81be44d412c544b310a,105,Garment Layer,firebrick,
5e5ef81be44d412c544b310e,109,Garment Layer,lightpink,
5e5ef81be44d412c544b3117,118,Garment Layer,gainsboro,
5e5ef81be44d412c544b312f,142,Garment Layer,black,
5e5ef81be44d412c544b3149,168,Garment Layer,linen,
5e5ef81be44d412c544b3168,199,Garment Layer,darkslategray,
5e5ef81be44d412c544b316b,202,Garment Layer,black,
5e5ef81be44d412c544b3175,212,Garment Layer,black,
5e5ef81be44d412c544b317f,222,Garment Layer,wheat,
5e5ef81be44d412c544b3183,226,Garment Layer,black,
5e5ef81be44d412c544b31d2,305,Garment Layer,chocolate,
5e5ef81be44d412c544b31d5,308,Garment Layer,firebrick,
5e5ef81be44d412c544b31dc,315,Garment Layer,darkgray,
5e5ef81be44d412c544b311d,124,Garment Layer,darkslategray,
5e5ef81be44d412c544b313e,157,Garment Layer,darkslategray,
5e5ef81be44d412c544b314f,174,Garment Layer,lightsteelblue,
5e5ef81be44d412c544b315d,188,Garment Layer,black,
5e5ef81be44d412c544b3166,197,Garment Layer,linen,
5e5ef81be44d412c544b3176,213,Garment Layer,black,
5e5ef81be44d412c544b3179,216,Garment Layer,peru,
5e5ef81be44d412c544b317b,218,Garment Layer,black,
5e5ef81be44d412c544b318f,238,Garment Layer,darkslategray,
5e5ef81be44d412c544b3192,241,Garment Layer,palevioletred,
5e5ef81be44d412c544b3196,245,Garment Layer,darkslategray,
5e5ef81be44d412c544b31aa,265,Garment Layer,lightgray,
5e5ef81be44d412c544b31c3,290,Garment Layer,darkslategray,
5e5ef81be44d412c544b31c4,291,Garment Layer,darkslategray,
5e5ef81be44d412c544b31d0,303,Garment Layer,crimson,
5e5ef81be44d412c544b31d4,307,Garment Layer,darkslategray,
5e5ef81be44d412c544b31d8,311,Garment Layer,darkslategray,
5e5ef81be44d412c544b31da,313,Garment Layer,silver,
5e5ef81be44d412c544b30ef,78,Garment Layer,gray,
5e5ef81be44d412c544b3103,98,Garment Layer,black,
5e5ef81be44d412c544b311b,122,Garment Layer,slategray,
5e5ef81be44d412c544b3122,129,Garment Layer,darkslategray,
5e5ef81be44d412c544b313a,153,Garment Layer,darkslategray,
5e5ef81be44d412c544b3143,162,Garment Layer,firebrick,
5e5ef81be44d412c544b3158,183,Garment Layer,darkslategray,
5e5ef81be44d412c544b3169,200,Garment Layer,lightsteelblue,
5e5ef81be44d412c544b318d,236,Garment Layer,lightgray,
5e5ef81be44d412c544b318e,237,Garment Layer,darkgreen,
5e5ef81be44d412c544b3191,240,Garment Layer,tan,
5e5ef81be44d412c544b3194,243,Garment Layer,black,
5e5ef81be44d412c544b3197,246,Garment Layer,darkslategray,
5e5ef81be44d412c544b319b,250,Garment Layer,rosybrown,
5e5ef81be44d412c544b31d1,304,Garment Layer,maroon,
5e5ef81be44d412c544b31d6,309,Garment Layer,peru,
5e5ef81be44d412c544b31db,314,Garment Layer,slategray,
5e5ef81be44d412c544b31dd,316,Garment Layer,black,
5e5ef81be44d412c544b30e5,68,Garment Layer,silver,
5e5ef81be44d412c544b30ed,76,Garment Layer,whitesmoke,
5e5ef81be44d412c544b30f1,80,Garment Layer,darkslategray,
5e5ef81be44d412c544b30fd,92,Garment Layer,black,
5e5ef81be44d412c544b30ff,94,Garment Layer,black,
5e5ef81be44d412c544b3100,95,Garment Layer,darkslategray,
5e5ef81be44d412c544b310b,106,Garment Layer,thistle,
5e5ef81be44d412c544b3113,114,Garment Layer,tan,
5e5ef81be44d412c544b3114,115,Garment Layer,black,
5e5ef81be44d412c544b311e,125,Garment Layer,black,
5e5ef81be44d412c544b312d,140,Garment Layer,linen,
5e5ef81be44d412c544b3136,149,Garment Layer,lightsteelblue,
5e5ef81be44d412c544b3142,161,Garment Layer,dimgray,
5e5ef81be44d412c544b3144,163,Garment Layer,darkgray,
5e5ef81be44d412c544b3145,164,Garment Layer,mediumpurple,
5e5ef81be44d412c544b315b,186,Garment Layer,darkslategray,
5e5ef81be44d412c544b3160,191,Garment Layer,black,
5e5ef81be44d412c544b3180,223,Garment Layer,lightpink,
5e5ef81be44d412c544b3193,242,Garment Layer,midnightblue,
5e5ef81be44d412c544b31cf,302,Garment Layer,lightblue,
5e5ef81be44d412c544b31d3,306,Garment Layer,maroon,
5e5ef81be44d412c544b30e3,66,Garment Layer,black,
5e5ef81be44d412c544b30f6,85,Garment Layer,lightgray,
5e5ef81be44d412c544b3126,133,Garment Layer,brown,
5e5ef81be44d412c544b3130,143,Garment Layer,silver,
5e5ef81be44d412c544b3138,151,Garment Layer,linen,
5e5ef81be44d412c544b3150,175,Garment Layer,lightslategray,
5e5ef81be44d412c544b3164,195,Garment Layer,crimson,
5e5ef81be44d412c544b316c,203,Garment Layer,rosybrown,
5e5ef81be44d412c544b3172,209,Garment Layer,lightpink,
5e5ef81be44d412c544b318c,235,Garment Layer,darkslategray,
5e5ef81be44d412c544b31a2,257,Garment Layer,gainsboro,
5e5ef81be44d412c544b31a4,259,Garment Layer,burlywood,
5e5ef81be44d412c544b31ad,268,Garment Layer,linen,
5e5ef81be44d412c544b31ae,269,Garment Layer,darkslategray,
5e5ef81be44d412c544b31c6,293,Garment Layer,ghostwhite,
5e5ef81be44d412c544b31c9,296,Garment Layer,brown,
5e5ef81be44d412c544b31cd,300,Garment Layer,black,
5e5ef81be44d412c544b31ce,301,Garment Layer,lightgray,
5e5ef81be44d412c544b31d7,310,Garment Layer,lightgray,
5e5ef81be44d412c544b3104,99,9,peru,
5e5ef81be44d412c544b312e,141,Garment Layer,black,
5e5ef81be44d412c544b3131,144,Garment Layer,silver,
5e5ef81be44d412c544b3132,145,Garment Layer,gray,
5e5ef81be44d412c544b3133,146,Garment Layer,maroon,
5e5ef81be44d412c544b314c,171,Garment Layer,darkslategray,
5e5ef81be44d412c544b314d,172,Garment Layer,black,
5e5ef81be44d412c544b3157,182,Garment Layer,cadetblue,
5e5ef81be44d412c544b3161,192,Garment Layer,sandybrown,
5e5ef81be44d412c544b317e,221,Garment Layer,lavender,
5e5ef81be44d412c544b3198,247,Garment Layer,darkslategray,
5e5ef81be44d412c544b31b3,274,Garment Layer,gainsboro,
5e5ef81be44d412c544b31c0,287,Garment Layer,yellowgreen,
5e5ef81be44d412c544b30eb,74,Garment Layer,lightpink,
5e5ef81be44d412c544b30ee,77,Garment Layer,gainsboro,
5e5ef81be44d412c544b30fc,91,Garment Layer,whitesmoke,
5e5ef81be44d412c544b310d,108,Garment Layer,darkslategray,
5e5ef81be44d412c544b3118,119,Garment Layer,slategray,
5e5ef81be44d412c544b3125,132,Garment Layer,rosybrown,
5e5ef81be44d412c544b3151,176,Garment Layer,darkslategray,
5e5ef81be44d412c544b3174,211,Garment Layer,sandybrown,
5e5ef81be44d412c544b3178,215,Garment Layer,gainsboro,
5e5ef81be44d412c544b3184,227,Garment Layer,lightsteelblue,
5e5ef81be44d412c544b318b,234,Garment Layer,lavender,
5e5ef81be44d412c544b319a,249,Garment Layer,lightsteelblue,
5e5ef81be44d412c544b31a0,255,Garment Layer,slategray,
5e5ef81be44d412c544b31a3,258,Garment Layer,darkslategray,
5e5ef81be44d412c544b31a9,264,Garment Layer,darkslategray,
5e5ef81be44d412c544b31b7,278,Garment Layer,silver,
5e5ef81be44d412c544b31bd,284,Garment Layer,deeppink,
5e5ef81be44d412c544b31be,285,Garment Layer,gainsboro,
5e5ef81be44d412c544b31c5,292,Garment Layer,dimgray,
5e5ef81be44d412c544b31c7,294,Garment Layer,orangered,
5e5ef81be44d412c544b31de,317,Garment Layer,crimson,
5e5ef81be44d412c544b31e0,319,Garment Layer,gainsboro,
5e5ef81be44d412c544b31ee,333,Garment Layer,sienna,
5e5ef81be44d412c544b3204,355,Garment Layer,darkslategray,
5e5ef81be44d412c544b320a,361,Garment Layer,dimgray,
5e5ef81be44d412c544b3236,405,Garment Layer,darkslategray,
5e5ef81be44d412c544b3243,418,Garment Layer,whitesmoke,
5e5ef81be44d412c544b3254,435,Garment Layer,sienna,
5e5ef81be44d412c544b3255,436,Garment Layer,gainsboro,
5e5ef81be44d412c544b3258,439,Garment Layer,darkslategray,
5e5ef81be44d412c544b3260,447,Garment Layer,thistle,
5e5ef81be44d412c544b3262,449,Garment Layer,gainsboro,
5e5ef81be44d412c544b326d,460,Garment Layer,black,
5e5ef81be44d412c544b3284,483,Garment Layer,gainsboro,
5e5ef81be44d412c544b328a,489,Garment Layer,brown,
5e5ef81be44d412c544b328d,492,Garment Layer,tan,
5e5ef81be44d412c544b31fa,345,Garment Layer,saddlebrown,
5e5ef81be44d412c544b3202,353,Garment Layer,darkslategray,
5e5ef81be44d412c544b321b,378,Garment Layer,linen,
5e5ef81be44d412c544b321f,382,Garment Layer,cadetblue,
5e5ef81be44d412c544b323a,409,Garment Layer,mistyrose,
5e5ef81be44d412c544b323d,412,Garment Layer,brown,
5e5ef81be44d412c544b324b,426,Garment Layer,burlywood,
5e5ef81be44d412c544b3251,432,Garment Layer,darkslategray,
5e5ef81be44d412c544b327a,473,Garment Layer,pink,
5e5ef81be44d412c544b31e5,324,Garment Layer,darkslategray,
5e5ef81be44d412c544b31e6,325,Garment Layer,lightslategray,
5e5ef81be44d412c544b31ed,332,Garment Layer,goldenrod,
5e5ef81be44d412c544b31f4,339,Garment Layer,black,
5e5ef81be44d412c544b320f,366,Garment Layer,darkslategray,
5e5ef81be44d412c544b322c,395,Garment Layer,silver,
5e5ef81be44d412c544b3246,421,Garment Layer,darkgray,
5e5ef81be44d412c544b325e,445,Garment Layer,rosybrown,
5e5ef81be44d412c544b327e,477,Garment Layer,dimgray,
5e5ef81be44d412c544b3287,486,Garment Layer,pink,
5e5ef81be44d412c544b3288,487,Garment Layer,silver,
5e5ef81be44d412c544b328f,494,Garment Layer,darkslategray,
5e5ef81be44d412c544b3290,495,Garment Layer,indianred,
5e5ef81be44d412c544b3211,368,Garment Layer,darkslateblue,
5e5ef81be44d412c544b3218,375,Garment Layer,gainsboro,
5e5ef81be44d412c544b3219,376,Garment Layer,lightpink,
5e5ef81be44d412c544b321e,381,Garment Layer,darkslategray,
5e5ef81be44d412c544b3226,389,Garment Layer,maroon,
5e5ef81be44d412c544b3240,415,Garment Layer,lightgray,
5e5ef81be44d412c544b3241,416,Garment Layer,darkslategray,
5e5ef81be44d412c544b324e,429,Garment Layer,whitesmoke,
5e5ef81be44d412c544b324f,430,Garment Layer,brown,
5e5ef81be44d412c544b3261,448,Garment Layer,lightgray,
5e5ef81be44d412c544b326b,458,Garment Layer,pink,
5e5ef81be44d412c544b326f,462,Garment Layer,sienna,
5e5ef81be44d412c544b3270,463,Garment Layer,darkslategray,
5e5ef81be44d412c544b3274,467,Garment Layer,black,
5e5ef81be44d412c544b327f,478,Garment Layer,darkred,
5e5ef81be44d412c544b3291,496,Garment Layer,darkslategray,
5e5ef81be44d412c544b31fc,347,Garment Layer,linen,
5e5ef81be44d412c544b320b,362,Garment Layer,crimson,
5e5ef81be44d412c544b3210,367,Garment Layer,sienna,
5e5ef81be44d412c544b3223,386,Garment Layer,darkslategray,
5e5ef81be44d412c544b3235,404,Garment Layer,maroon,
5e5ef81be44d412c544b323e,413,Garment Layer,peru,
5e5ef81be44d412c544b3247,422,Garment Layer,darkslateblue,
5e5ef81be44d412c544b3252,433,Garment Layer,whitesmoke,
5e5ef81be44d412c544b3256,437,Garment Layer,darkslategray,
5e5ef81be44d412c544b3259,440,Garment Layer,linen,
5e5ef81be44d412c544b3269,456,Garment Layer,dimgray,
5e5ef81be44d412c544b31ef,334,Garment Layer,black,
5e5ef81be44d412c544b31f2,337,Garment Layer,mistyrose,
5e5ef81be44d412c544b31fb,346,Garment Layer,lightseagreen,
5e5ef81be44d412c544b3201,352,Garment Layer,lightgray,
5e5ef81be44d412c544b320e,365,Garment Layer,darkslategray,
5e5ef81be44d412c544b3220,383,Garment Layer,darkseagreen,
5e5ef81be44d412c544b3225,388,Garment Layer,navajowhite,
5e5ef81be44d412c544b3239,408,Garment Layer,silver,
5e5ef81be44d412c544b3242,417,Garment Layer,black,
5e5ef81be44d412c544b325f,446,Garment Layer,pink,
5e5ef81be44d412c544b326a,457,Garment Layer,gainsboro,
5e5ef81be44d412c544b326e,461,Garment Layer,lightgray,
5e5ef81be44d412c544b3279,472,Garment Layer,black,
5e5ef81be44d412c544b3282,481,Garment Layer,tan,
5e5ef81be44d412c544b31f8,343,Garment Layer,silver,
5e5ef81be44d412c544b31ff,350,Garment Layer,thistle,
5e5ef81be44d412c544b320d,364,Garment Layer,linen,
5e5ef81be44d412c544b3215,372,Garment Layer,lightslategray,
5e5ef81be44d412c544b323c,411,Garment Layer,thistle,
5e5ef81be44d412c544b3244,419,Garment Layer,gainsboro,
5e5ef81be44d412c544b326c,459,Garment Layer,mistyrose,
5e5ef81be44d412c544b3276,469,Garment Layer,indianred,
5e5ef81be44d412c544b327b,474,Garment Layer,cornflowerblue,
5e5ef81be44d412c544b3289,488,Garment Layer,lightslategray,
5e5ef81be44d412c544b31e7,326,Garment Layer,black,
5e5ef81be44d412c544b31f5,340,Garment Layer,darkslategray,
5e5ef81be44d412c544b31f6,341,Garment Layer,black,
5e5ef81be44d412c544b31fe,349,Garment Layer,gainsboro,
5e5ef81be44d412c544b3208,359,Garment Layer,maroon,
5e5ef81be44d412c544b321a,377,Garment Layer,silver,
5e5ef81be44d412c544b322a,393,Garment Layer,lightgray,
5e5ef81be44d412c544b3238,407,Garment Layer,tan,
5e5ef81be44d412c544b323b,410,Garment Layer,saddlebrown,
5e5ef81be44d412c544b324d,428,Garment Layer,black,
5e5ef81be44d412c544b3271,464,Garment Layer,rosybrown,
5e5ef81be44d412c544b327c,475,Garment Layer,darkgreen,
5e5ef81be44d412c544b31f0,335,Garment Layer,silver,
5e5ef81be44d412c544b31f1,336,Garment Layer,silver,
5e5ef81be44d412c544b31f7,342,Garment Layer,darkslategray,
5e5ef81be44d412c544b3203,354,Garment Layer,black,
5e5ef81be44d412c544b3216,373,Garment Layer,darkslategray,
5e5ef81be44d412c544b322f,398,Garment Layer,sienna,
5e5ef81be44d412c544b3250,431,Garment Layer,pink,
5e5ef81be44d412c544b325a,441,Garment Layer,seagreen,
5e5ef81be44d412c544b325d,444,Garment Layer,rosybrown,
5e5ef81be44d412c544b3273,466,Garment Layer,whitesmoke,
5e5ef81be44d412c544b3285,484,Garment Layer,darkslategray,
5e5ef81be44d412c544b3294,499,Garment Layer,whitesmoke,
5e5ef81be44d412c544b31e4,323,Garment Layer,lightblue,
5e5ef81be44d412c544b3200,351,Garment Layer,gainsboro,
5e5ef81be44d412c544b3212,369,Garment Layer,mistyrose,
5e5ef81be44d412c544b3222,385,Garment Layer,crimson,
5e5ef81be44d412c544b3224,387,Garment Layer,peru,
5e5ef81be44d412c544b3230,399,Garment Layer,saddlebrown,
5e5ef81be44d412c544b3231,400,Garment Layer,lightgray,
5e5ef81be44d412c544b3249,424,Garment Layer,goldenrod,
5e5ef81be44d412c544b325b,442,Garment Layer,seagreen,
5e5ef81be44d412c544b3265,452,Garment Layer,darkslategray,
5e5ef81be44d412c544b3267,454,Garment Layer,black,
5e5ef81be44d412c544b3272,465,Garment Layer,maroon,
5e5ef81be44d412c544b3281,480,Garment Layer,slategray,
5e5ef81be44d412c544b3286,485,Garment Layer,darkslategray,
5e5ef81be44d412c544b3293,498,Garment Layer,midnightblue,
5e5ef81be44d412c544b31e2,321,Garment Layer,lightsteelblue,
5e5ef81be44d412c544b31e8,327,Garment Layer,darkslategray,
5e5ef81be44d412c544b31fd,348,Garment Layer,silver,
5e5ef81be44d412c544b3207,358,Garment Layer,black,
5e5ef81be44d412c544b3214,371,Garment Layer,gainsboro,
5e5ef81be44d412c544b322d,396,Garment Layer,linen,
